code,category_no,category,subcategory_no,subcategory,service,note,requires_health_check,health_check_reason,duration_default,duration_min,duration_max,price
1.1.1,1,Массаж тела,1.1,Базовый ручной массаж,Классический массаж всего тела,,false,,,,,
1.1.2,1,Массаж тела,1.1,Базовый ручной массаж,Общий оздоровительный массаж,,false,,,,,
1.1.3,1,Массаж тела,1.1,Базовый ручной массаж,Общий расслабляющий массаж,,false,,,,,
1.1.4,1,Массаж тела,1.1,Базовый ручной массаж,Массаж спины,,false,,,,,
1.1.5,1,Массаж тела,1.1,Базовый ручной массаж,Массаж шейно-воротниковой зоны,,false,,,,,
1.1.6,1,Массаж тела,1.1,Базовый ручной массаж,Массаж головы,,false,,,,,
1.1.7,1,Массаж тела,1.1,Базовый ручной массаж,Массаж лица,,false,,,,,
1.1.8,1,Массаж тела,1.1,Базовый ручной массаж,Массаж плечевого пояса,,false,,,,,
1.1.9,1,Массаж тела,1.1,Базовый ручной массаж,Массаж грудного отдела спины,,false,,,,,
1.1.10,1,Массаж тела,1.1,Базовый ручной массаж,Массаж пояснично-крестцовой зоны,,false,,,,,
1.1.11,1,Массаж тела,1.1,Базовый ручной массаж,Массаж рук,,false,,,,,
1.1.12,1,Массаж тела,1.1,Базовый ручной массаж,Массаж кистей,,false,,,,,
1.1.13,1,Массаж тела,1.1,Базовый ручной массаж,Массаж ног,,false,,,,,
1.1.14,1,Массаж тела,1.1,Базовый ручной массаж,Массаж стоп,,false,,,,,
1.1.15,1,Массаж тела,1.1,Базовый ручной массаж,Массаж живота,,false,,,,,
1.1.16,1,Массаж тела,1.1,Базовый ручной массаж,Массаж ягодиц,,false,,,,,
1.1.17,1,Массаж тела,1.1,Базовый ручной массаж,Массаж бедер,,false,,,,,
1.1.18,1,Массаж тела,1.1,Базовый ручной массаж,Массаж голеней,,false,,,,,
1.1.19,1,Массаж тела,1.1,Базовый ручной массаж,Массаж зоны декольте,,false,,,,,
1.1.20,1,Массаж тела,1.1,Базовый ручной массаж,Массаж отдельных зон,,false,,,,,
1.1.21,1,Массаж тела,1.1,Базовый ручной массаж,Экспресс-массаж 15–20 минут,,false,,,,,
1.1.22,1,Массаж тела,1.1,Базовый ручной массаж,Массаж 30 минут,,false,,,,,
1.1.23,1,Массаж тела,1.1,Базовый ручной массаж,Массаж 45 минут,,false,,,,,
1.1.24,1,Массаж тела,1.1,Базовый ручной массаж,Массаж 60 минут,,false,,,,,
1.1.25,1,Массаж тела,1.1,Базовый ручной массаж,Массаж 90 минут,,false,,,,,
1.1.26,1,Массаж тела,1.1,Базовый ручной массаж,Массаж 120 минут,,false,,,,,
1.2.1,1,Массаж тела,1.2,Расслабляющие массажи,Relax-массаж,,false,,,,,
1.2.2,1,Массаж тела,1.2,Расслабляющие массажи,Антистресс-массаж,,false,,,,,
1.2.3,1,Массаж тела,1.2,Расслабляющие массажи,Мягкий расслабляющий массаж,,false,,,,,
1.2.4,1,Массаж тела,1.2,Расслабляющие массажи,Релакс-массаж всего тела,,false,,,,,
1.2.5,1,Массаж тела,1.2,Расслабляющие массажи,Массаж при усталости,,false,,,,,
1.2.6,1,Массаж тела,1.2,Расслабляющие массажи,Массаж для снятия мышечного напряжения,,false,,,,,
1.2.7,1,Массаж тела,1.2,Расслабляющие массажи,Массаж после рабочего дня,,false,,,,,
1.2.8,1,Массаж тела,1.2,Расслабляющие массажи,Массаж для сна,,false,,,,,
1.2.9,1,Массаж тела,1.2,Расслабляющие массажи,Аромамассаж,,false,,,,,
1.2.10,1,Массаж тела,1.2,Расслабляющие массажи,Массаж с эфирными маслами,,false,,,,,
1.2.11,1,Массаж тела,1.2,Расслабляющие массажи,Массаж теплым маслом,,false,,,,,
1.2.12,1,Массаж тела,1.2,Расслабляющие массажи,Массаж свечами,,false,,,,,
1.2.13,1,Массаж тела,1.2,Расслабляющие массажи,Массаж горячими камнями,,false,,,,,
1.2.14,1,Массаж тела,1.2,Расслабляющие массажи,Стоунтерапия,,false,,,,,
1.2.15,1,Массаж тела,1.2,Расслабляющие массажи,Массаж с травяными мешочками,,false,,,,,
1.2.16,1,Массаж тела,1.2,Расслабляющие массажи,Медовый массаж,,false,,,,,
1.2.17,1,Массаж тела,1.2,Расслабляющие массажи,Шоколадный массаж,,false,,,,,
1.2.18,1,Массаж тела,1.2,Расслабляющие массажи,Солевой массаж,,false,,,,,
1.2.19,1,Массаж тела,1.2,Расслабляющие массажи,Спа-массаж,,false,,,,,
1.2.20,1,Массаж тела,1.2,Расслабляющие массажи,Балийский массаж,,false,,,,,
1.2.21,1,Массаж тела,1.2,Расслабляющие массажи,Тайский расслабляющий массаж,,false,,,,,
1.2.22,1,Массаж тела,1.2,Расслабляющие массажи,Гавайский массаж Ломи-Ломи,,false,,,,,
1.2.23,1,Массаж тела,1.2,Расслабляющие массажи,Аюрведический массаж,,false,,,,,
1.2.24,1,Массаж тела,1.2,Расслабляющие массажи,Абхьянга,,false,,,,,
1.2.25,1,Массаж тела,1.2,Расслабляющие массажи,Шиацу,,false,,,,,
1.2.26,1,Массаж тела,1.2,Расслабляющие массажи,Рефлекторный массаж стоп,,false,,,,,
1.3.1,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Лечебно-оздоровительный массаж,,false,,,,,
1.3.2,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Профилактический массаж,,false,,,,,
1.3.3,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Восстановительный массаж,,false,,,,,
1.3.4,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Миофасциальный массаж,,false,,,,,
1.3.5,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Глубокотканный массаж,,false,,,,,
1.3.6,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Спортивный массаж,,false,,,,,
1.3.7,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Восстановительный массаж после тренировок,,false,,,,,
1.3.8,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж для спортсменов,,false,,,,,
1.3.9,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж при мышечном напряжении,,false,,,,,
1.3.10,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж при сидячем образе жизни,,false,,,,,
1.3.11,1,Массаж тела,1.3,Оздоровительные и восстановительные массажи,Массаж для офисных сотрудников,,false,,,,,
